source,source_detail,text,rating,date,url,themes,mode
play_store,com.myntra.android,Myntra ek number ka ghatiya aur froad banane ke liye aaya Hai ek order delivery karne ke liye ine logon ko ek Mahina lagta hai mere ko date by date dete ja raha hai ek number ka ghatiya hai koi bhi inse kuchh nahin Kar dega Flipkart meesho bahut badhiya hai 😡,1,2026-08-19,,,rules
play_store,com.myntra.android,"Your filter is not working in the mobile App. Once you select the filters, there is no provision to apply the filters.",4,2026-08-19,,app_ux_friction,rules
play_store,com.myntra.android,This app makes shopping so easy and joyful 🫶🏻,5,2026-08-19,,,rules
play_store,com.myntra.android,I just love this app the fast delivery ooh la laaa😭😭,5,2026-08-19,,,rules
play_store,com.myntra.android,khup sundar aap aahe khup swst n best mal aahe pls sarvani shoping kara,5,2026-08-19,,,rules
play_store,com.myntra.android,this app is very nice,5,2026-08-19,,,rules
play_store,com.myntra.android,"Very disappointed.Myntra deactivated my account without any reason and I complained it by calls, emails but no response.Now I am going to file a complaint with the consumer forum.",1,2026-08-19,,,rules
play_store,com.myntra.android,my experience with myntra is mind blowing very nice products at reasonable price n quality is also top notch. I always shop with myntra only I trust it. happy shopping,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,Best for online shopping 🛍 😌 Using this app for more than 5 years.,5,2026-08-19,,,rules
play_store,com.myntra.android,“Absolutely loved these jeans! The fitting is perfect and the fabric feels really comfortable. The quality is also very good and the jeans look exactly like the pictures. The fit is flattering and easy to style with both crop tops and oversized tops. I’ve worn them for long hours and they’re still comfortable. Definitely worth the price and would recommend them! ❤️”,5,2026-08-19,,size_fit_uncertainty|quality_doubt|price_value_anxiety,rules
play_store,com.myntra.android,"I thought in myntra we get only expensive products, but got best deals which was affordable... cheers",5,2026-08-19,,,rules
play_store,com.myntra.android,"It's a good app, good clothes in good prize.",5,2026-08-19,,,rules
play_store,com.myntra.android,"Horrible experience with the delivery, my first order still not delivered",1,2026-08-19,,,rules
play_store,com.myntra.android,it's good for shopping 🛍️🛒 and it can be purchaseable because myntra have best quality product and dress also so we can easily buy this and make happy.. if we start for shopping then it can be give a discount on your order and make affordable price their quality it best and also it give free coupons when we finished shopping and then we earn award for it .. I aslo earn mainy rewards and cash price on it so don't waste your time and jont with myntra and start to shopping 🛒🛍️ make your day,5,2026-08-19,,quality_doubt|price_value_anxiety,rules
play_store,com.myntra.android,It is a very good app,5,2026-08-19,,,rules
play_store,com.myntra.android,nice bag quality is very good 👍🏻,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,very nice 💯 and genuine,5,2026-08-19,,,rules
play_store,com.myntra.android,Best app for shopping 🛍️,5,2026-08-19,,,rules
play_store,com.myntra.android,Nice experience,5,2026-08-19,,,rules
play_store,com.myntra.android,good product available this site ☺️,5,2026-08-19,,,rules
play_store,com.myntra.android,quality products,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,very good quality products,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,Received expired product and after returning it myntra is not giving full refund,1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,product of myntra are perfect,5,2026-08-19,,,rules
play_store,com.myntra.android,received broken product with no brand tags or price tag on return request their delivery partner just says it could not be quality checked and hence the return is put on hold. told this to their customer care they told me to send photos did the same return was scheduled and the delivery partner did the same. I think I will just have to forget about my money as this problem will persist without any real solution,1,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,it's a pleasure to use😍,5,2026-08-19,,,rules
play_store,com.myntra.android,"very good app for online shopping, i think best in India , it's items are really good quality, and also good policies of payment returns or exchanges or refund",5,2026-08-19,,quality_doubt|delivery_return_fear,rules
play_store,com.myntra.android,very nice service and product,5,2026-08-19,,,rules
play_store,com.myntra.android,I just love love love myntra,5,2026-08-19,,,rules
play_store,com.myntra.android,great application,5,2026-08-19,,,rules
play_store,com.myntra.android,Customer support and service at its worst. Wrong products are being sent and there is no quick resolution. The bot always says our agents are always busy,1,2026-08-19,,,rules
play_store,com.myntra.android,Is better than flipkart,5,2026-08-19,,,rules
play_store,com.myntra.android,"I have been using Mantra for a few years now. Earlier, I used to order only a few things, but now I keep buying something or the other regularly. So far, everything I have ordered has been really good. Especially since they introduced the cashback and daily rewards options, it has been even more beneficial. I’m really happy with the experience. Thank you, Mantra! ❤️",5,2026-08-19,,,rules
play_store,com.myntra.android,excellent products and original brands,5,2026-08-19,,,rules
play_store,com.myntra.android,nice app for online shopping.... They give what they show..,5,2026-08-19,,,rules
play_store,com.myntra.android,"PATHETIC APP FOR SHOPPING. MY RETURN IS PENDING SINCE A MONTH ALMOST. RECIEVED ON 5 JUNE. RETURN FILED ON 7 . TODAY IS 28 JUNE . LAST DATE FOR RETURN WAS 19. ITS BEEN OVER 9 DAYS STILL IT SHOWING THEY ARE SAYING """" WE ARE LOOKING INTO YUR RETURN. PLEASE WAIT FOR 24 HOURS"""" JUST A PATHETIC SERVICE. YOU GUYS DONT EVEN DESERVE A SINGLE STAR FROM MY POINT OF YOU.",1,2026-08-19,,,rules
play_store,com.myntra.android,very fast and good condition delivery service.,5,2026-08-19,,,rules
play_store,com.myntra.android,myntra is trustable app 🤌 I have purchased from myntra and i received orders in well manner and quality of cloth is awesome 👌,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,"best app for clothes, affordable",5,2026-08-19,,,rules
play_store,com.myntra.android,mast hai sasta hai,5,2026-08-19,,,rules
play_store,com.myntra.android,very bad experience... i ordered a product in a offer and myntra haven't delivered that product instead of delivering the product they are only showing delay and delay... very bad app and support system is also worst... i am unable to make chat or call with the agent.... worst application don't purchase any product from myntra,1,2026-08-19,,,rules
play_store,com.myntra.android,good experience recommended it,5,2026-08-19,,,rules
play_store,com.myntra.android,best app and myncash back bhi acha deta h 👌👌👌,5,2026-08-19,,,rules
play_store,com.myntra.android,"irrespansible app, and its worst it is not business app reson i asking some thing not accepted",1,2026-08-19,,,rules
play_store,com.myntra.android,I just love how you don't charge a lot on product,5,2026-08-19,,,rules
play_store,com.myntra.android,super I am happy,5,2026-08-19,,,rules
play_store,com.myntra.android,"the worst app i cancelled my order in August and today is August 18th, but I still haven't received my refund. I really didn't expect this from Myntra. When will my amount be refunded",1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,good product as soon as received 👏👌,5,2026-08-19,,,rules
play_store,com.myntra.android,"A very beautiful dress, perfect stich.But the only thing i was dissatisfied is i thought the gold pattern was embroidery but in reality it's just gold print. Otherwise the fit and outlook is really good. Thank you.",5,2026-08-19,,,rules
play_store,com.myntra.android,without seeing my return product they claimed that they have footage of my product. I am using first time Myntra in my life and this is wrost service. Other apps provided better service as compared to this.wrost service of my life delivery agent update status that quality check failed without seeing my return product and the Myntra team saying that they have investigated and find everything okay. send me the footage if you investigated this. Wrost service they don't care about customer value,1,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,quality maintain,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,best experience,5,2026-08-19,,,rules
play_store,com.myntra.android,very useful and time saving app...,5,2026-08-19,,,rules
play_store,com.myntra.android,my best one and only shopping app. go for itt!!!,5,2026-08-19,,,rules
play_store,com.myntra.android,one of worst service provider and not delivered the item in exact date as mentioned I am this stupid mistake continuously 👎👎,1,2026-08-19,,,rules
play_store,com.myntra.android,myntra app really awesome 👍....I am so glad to use it...,5,2026-08-19,,,rules
play_store,com.myntra.android,fast delivari and good produced,5,2026-08-19,,,rules
play_store,com.myntra.android,"Extremely disappointed with Myntra's service. The product quality is terrible, delivery was heavily delayed, and the customer support is completely unhelpful. Definitely not recommended. 1/5 stars.""",1,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,Good to use easy to use and it is trusted also,5,2026-08-19,,,rules
play_store,com.myntra.android,nice app with exciting offers,5,2026-08-19,,,rules
play_store,com.myntra.android,best shopping app... i am really happy,5,2026-08-19,,,rules
play_store,com.myntra.android,wonderful app for shopping,5,2026-08-19,,,rules
play_store,com.myntra.android,customer friendly app too good,5,2026-08-19,,,rules
play_store,com.myntra.android,"Fantastic experience in ordering, payment and product detailing",5,2026-08-19,,,rules
play_store,com.myntra.android,excellent customer service app 👍 product quality always in good condition and service is good I am always purchasing by this app,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,don't deliver on the said date delivery is always delivered delayed and cancel themselves and say that the order is cancelled for unwanted reasons my multiple orders have been cancelled unwanted reasons most worst thing is that day charge platform fee cash on handling fee which is not refundable if the product is returned,1,2026-08-19,,,rules
play_store,com.myntra.android,very good product,5,2026-08-19,,,rules
play_store,com.myntra.android,delivery is not faster,1,2026-08-19,,,rules
play_store,com.myntra.android,i trusted on myntra last five years... original product and fast delivery 💖,5,2026-08-19,,,rules
play_store,com.myntra.android,beautiful product,5,2026-08-19,,,rules
play_store,com.myntra.android,it was very much better rakhii,5,2026-08-19,,,rules
play_store,com.myntra.android,Myntra app is deactivated and not able to longin,1,2026-08-19,,,rules
play_store,com.myntra.android,wow ! fully satisfied,5,2026-08-19,,,rules
play_store,com.myntra.android,amazing service providers for myntra . i am happy 😁 lowest price get best fashion items provided. thank you 👍🏻😊 myntra,5,2026-08-19,,,rules
play_store,com.myntra.android,"myntra is doing amazing especially it's style exchange is so unique , refund is amazing, go for it",5,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,osm products are been delivered,5,2026-08-19,,,rules
play_store,com.myntra.android,this app is very good 👍,5,2026-08-19,,,rules
play_store,com.myntra.android,absolutely 100% original quality,4,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,very good experience 😃👍,5,2026-08-19,,,rules
play_store,com.myntra.android,the product Myntra shows is one of best quality,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,great experience,5,2026-08-19,,,rules
play_store,com.myntra.android,poor experience and A lot of scams happen on Myntra.,1,2026-08-19,,,rules
play_store,com.myntra.android,very good app....For brand purchase...original and authentic product ... Good for it ....,5,2026-08-19,,,rules
play_store,com.myntra.android,veryyyy veryy6 goodddd 💗🫶🏻,5,2026-08-19,,,rules
play_store,com.myntra.android,Bakawas service Bakawas App....All Time Delivered Fake and duplicate products.. return option is not visible...1 Monthno one pick up return order .... customer service also disgusting please don't use Myntra app it's very very bad,1,2026-08-19,,,rules
